year,date_,time,race,sex,age,wound,location,point_x,point_y,fatal
2020,2020-09-24 00:00:00+00,17:28:00,B,M,27,Multiple,3000 BLOCK NEW HOPE ST,-75.19600116,39.92964566,0
2023,2023-04-19 00:00:00+00,02:52:00,B,M,26,Neck,1900 BLOCK PATTISON AVE,-75.18333389,39.9066055,0
2021,2021-12-03 00:00:00+00,16:49:00,B,M,29,Multiple,1700 BLOCK W PASSYUNK AVE,-75.17564593,39.92446928,1
2019,2019-06-01 00:00:00+00,12:15:00,B,M,25,Multiple,2700 BLOCK Winton Terrace,-75.19184901,39.92523312,0
2019,2019-06-24 00:00:00+00,17:51:00,B,M,,Buttocks,2100 BLOCK BAILEY TER,-75.19020844,39.92624435,0
2019,2019-06-24 00:00:00+00,23:24:00,B,M,24,Shoulder,2100 BLOCK POINT BREEZE AV,-75.1899903,39.92690583,1
2019,2019-06-22 00:00:00+00,22:25:00,B,M,23,Multiple,2400 BLOCK MOORE ST,-75.18551105,39.93017194,0
2019,2019-06-22 00:00:00+00,22:25:00,B,M,23,Arm,2400 BLOCK MOORE ST,-75.18551105,39.93017194,0
2019,2019-06-22 00:00:00+00,22:25:00,B,M,27,Multiple,2400 BLOCK MOORE ST,-75.18551105,39.93017194,0
2022,2022-08-29 00:00:00+00,18:30:00,W,M,55,Leg,1700 BLOCK JACKSON ST,-75.17504789,39.92375936,0
2019,2019-11-13 00:00:00+00,18:36:00,B,M,17,Arm,1900 BLOCK S Bonsall St,-75.18447757,39.92871304,0
2022,2022-09-06 00:00:00+00,17:14:00,B,M,43,Leg,1600 BLOCK MIFFLIN ST,-75.17269552,39.9272686,0
2019,2019-02-20 00:00:00+00,17:44:00,B,M,30,Chest,2200 BLOCK S Bonsall St,-75.18548825,39.9247287,0
2019,2019-12-21 00:00:00+00,23:13:00,B,M,22,Leg,1800 BLOCK Dudley St,-75.17620671,39.92694659,0
2023,2023-05-12 00:00:00+00,19:55:00,B,F,11,Leg,2300 BLOCK MIFFLIN ST,-75.18391806,39.92871232,0
2018,2018-08-14 00:00:00+00,21:27:00,B,M,31,Leg,2600 BLOCK JACKSON ST,-75.18984078,39.92570977,0
2023,2023-05-12 00:00:00+00,19:55:00,B,F,55,Arm,2300 BLOCK MIFFLIN ST,-75.18391806,39.92871232,0
2019,2019-06-22 00:00:00+00,22:25:00,B,M,23,Multiple,2400 BLOCK MOORE ST,-75.18551105,39.93017194,0
2021,2021-09-21 00:00:00+00,23:33:00,B,M,27,Multiple/Head,2100 BLOCK MARSTON TERRACE,-75.1919395,39.92595508,1
